V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q5	Q6	Q7_5	Q7_6	Q7_7	Q7_8	Q7_9	Q7_10	Q7_11	Q7_12	Q7_13	Q7_14	Q7_16	Q7_17	Q7_18	Q7_20	Q7_21	Q7_22	Q7_23	Q7_24	Q7_25	Q7_26	Q7_27	Q8	Q9	Q10	Q11	Q12_1	Q12_2	Q12_3	Q12_5	Q12_6	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q17_1	Q17_2	Q17_3	Q17_4	Q17_5	Q14	Q15	LocationLatitude	LocationLongitude	LocationAccuracy
ResponseID	ResponseSet	Name	ExternalDataReference	EmailAddress	IPAddress	Status	StartDate	EndDate	Finished	What is your Gender?	What is your age?	"How often do you use Social networking sites (Ex. Facebook, WhatsApp, twitter, Instagram, LinkedIn)?"	 What is your education level?	 How helpful do you think social media can keep you connected with people?	How helpful do you think social media can reduce the communication barriers between the people?	-1	-2	-3	-4	-5	-6	-7	-8	-9	-10	-11	-12	-13	-14	-15	-16	-17	-18	-19	-20	-21	How often do you use emoticons?	Describe one of your happiest/fun moment with the use of social network or the Internet for brows...	 Have you ever felt depressed by the content while browsing the Internet?	How often do you feel depressed?	How do you usually feel when you don’t get reply from your good friend? -Happy	How do you usually feel when you don’t get reply from your good friend? -sad	How do you usually feel when you don’t get reply from your good friend? -Disappointed	How do you usually feel when you don’t get reply from your good friend? -Worried	How do you usually feel when you don’t get reply from your good friend? -Can't Define	How do you usually feel when you don’t get reply to your emails or job application [Ex. Waiting f...-Happy	How do you usually feel when you don’t get reply to your emails or job application [Ex. Waiting f...-Sad	How do you usually feel when you don’t get reply to your emails or job application [Ex. Waiting f...-Disappointed	How do you usually feel when you don’t get reply to your emails or job application [Ex. Waiting f...-Worried	How do you usually feel when you don’t get reply to your emails or job application [Ex. Waiting f...-Can't define	How would you feel when group of people trying to bully you in group chat or in public places? -Disappointed	How would you feel when group of people trying to bully you in group chat or in public places? -Bully back	How would you feel when group of people trying to bully you in group chat or in public places? -Worried	How would you feel when group of people trying to bully you in group chat or in public places? -Depressed	How would you feel when group of people trying to bully you in group chat or in public places? -None	What impact do any of the social networking sites or Internet browsing have on your education? [P...	What impact do any of the social networking sites or Internet browsing have on your life? [Please...	LocationLatitude	LocationLongitude	LocationAccuracy
R_d6eOBtmvvElIWu9	Default Response Set	Anonymous			68.48.88.196	0	3/4/2016 0:35	3/4/2016 0:44	1	2	2	2	5	1	1																						2	I have watched my best friend's wedding live in online when I was not able to attend it.	1	4																		42.91960144	-83.64959717	-1
R_cYXlVd8cq74bBKB	Default Response Set	Anonymous			68.48.88.196	0	3/4/2016 0:35	3/4/2016 0:49	1	1	2	3	3	1	2																						3	My friends surprised me with the on my 22nd birthday	1	2																		42.91960144	-83.64959717	-1
R_cSUzBK12ToUJvxj	Default Response Set	Anonymous			175.101.88.202	0	3/4/2016 0:37	3/4/2016 0:50	1	1	2	3	4	1	2																						2	When I upload pics comments of my friends make me happy 	2	4																Internet is helpful in my education  / 	I enjoy by browsing	16.51669312	80.61669922	-1
R_eJpCRdro4ERCWm9	Default Response Set	Anonymous			175.101.88.202	0	3/4/2016 1:19	3/4/2016 1:23	1	1	2	1	4	2	2																						2	enjow every moment	1	2																helpful	enjow with net	16.51669312	80.61669922	-1
R_0uLeWhdF0vxE9Zb	Default Response Set	Anonymous			175.101.67.23	0	3/4/2016 1:27	3/4/2016 1:32	1	2	2	2	4	1	2																						4	Remembering my clg memories	4	2																To learn more new things and techniques 	To know more things in the world what's gng on	16.51669312	80.61669922	-1
R_4PyvxDPvIj2UDu5	Default Response Set	Anonymous			106.208.109.146	0	3/4/2016 2:02	3/4/2016 2:05	1	1	2	3	4	2	2																						3		4	5																		13.08329773	80.28329468	-1
R_5umD3Q19XMoMML3	Default Response Set	Anonymous			106.76.196.115	0	3/4/2016 1:57	3/4/2016 2:07	1	1	2	3	4	1	2																						3	We can connect with all of the friends at a time and we can find the new friends 	2	4																Internet helps me to find every thing so it is useful	By using this I was connected to all of my friends and so many 	11.25	75.76669312	-1
R_bCLQi989l9XxFqJ	Default Response Set	Anonymous			117.231.45.223	0	3/4/2016 2:10	3/4/2016 2:15	1	1	2	4	4	2	1																						2	Nothing	2	4																No impact	No impact at all	13.08329773	80.28329468	-1
R_2ohXexTrP8PAd3D	Default Response Set	Anonymous			183.82.217.212	0	3/4/2016 2:22	3/4/2016 2:25	1	1	2	4	4	3	4																						2		1	3																		17.37530518	78.47439575	-1
